sym,dir,entry_time,exit_time,entry,exit,shares,gross,costs,net,bars,rvol,r_mult,reason
W,short,2026-01-16 09:35:00-05:00,2026-01-16 15:55:00-05:00,117.17,115.07,41,86.10000000000035,4.087055152,82.01294484800034,370,0.6790716638789401,3.7104944471703196,eod_win
ADBE,short,2026-01-16 09:35:00-05:00,2026-01-16 15:55:00-05:00,300.89,296.19,16,75.19999999999982,4.092205184,71.10779481599982,381,2.2792417420648925,5.01381465954064,eod_win
HOOD,long,2026-01-20 09:35:00-05:00,2026-01-20 09:35:00-05:00,105.9,105.38344000000001,45,-23.245199999999926,4.082357503440001,-27.327557503439927,1,1.5281096979889353,-0.9999999999999966,stop_loss
NFLX,long,2026-01-20 09:35:00-05:00,2026-01-20 09:35:00-05:00,89.525,89.31924153846154,53,-10.905198461538674,4.072603026098154,-14.977801487636828,1,1.8336740871672232,-1.0000000000000184,stop_loss
BA,long,2026-01-20 09:35:00-05:00,2026-01-20 09:35:00-05:00,245.77,245.16451538461538,19,-11.504207692307887,3.996721927949231,-15.500929620257118,1,0.9048563684067227,-1.0000000000000173,stop_loss
GM,short,2026-01-20 09:35:00-05:00,2026-01-20 09:35:00-05:00,79.09,79.35,61,-15.859999999999445,4.154870552,-20.014870551999444,1,1.0845794124484134,-1.159917638984174,stop_loss
MRNA,long,2026-01-20 09:35:00-05:00,2026-01-20 09:35:00-05:00,41.81,41.41,115,-46.000000000000654,4.90423434,-50.90423434000065,1,0.9947867460758513,-1.560966238101407,stop_loss
ABBV,short,2026-01-20 09:35:00-05:00,2026-01-20 09:35:00-05:00,209.9786,210.6160676923077,22,-14.024289230769284,3.9657727744529234,-17.990062005222207,1,0.969265417372354,-1.0000000000000044,stop_loss
DIS,short,2026-01-20 09:35:00-05:00,2026-01-20 09:35:00-05:00,108.88,109.11167615384615,44,-10.19375076923069,4.117908918579078,-14.311659687809767,1,1.8781935042052174,-0.9999999999999928,stop_loss
CRM,long,2026-01-20 09:35:00-05:00,2026-01-20 09:35:00-05:00,227.7,226.92082538461537,21,-16.362666923077,4.091194571090307,-20.45386149416731,1,1.3635031148955643,-1.0000000000000044,stop_loss
SOFI,long,2026-01-20 09:35:00-05:00,2026-01-20 09:36:00-05:00,25.78,25.640848461538464,187,-26.021337692307366,7.809400422812153,-33.830738115119516,2,1.431370187866912,-0.9999999999999878,stop_loss
AFRM,long,2026-01-20 09:35:00-05:00,2026-01-20 09:36:00-05:00,72.92,72.50222538461539,66,-27.573124615384643,4.127879449289539,-31.701004064674184,2,1.0745555439067263,-1.000000000000001,stop_loss
UBER,long,2026-01-20 09:36:00-05:00,2026-01-20 09:36:00-05:00,83.54,83.27,57,-15.390000000000583,4.086519126000001,-19.476519126000582,1,0.8871845459925806,-1.0364224233387374,stop_loss
CVX,short,2026-01-20 09:35:00-05:00,2026-01-20 09:36:00-05:00,165.57,165.98896153846152,29,-12.149884615384394,4.123014788638462,-16.272899404022855,2,0.5742539041175124,-0.9999999999999817,stop_loss
MU,long,2026-01-20 09:36:00-05:00,2026-01-20 09:36:00-05:00,374.02,372.18573230769226,12,-22.01121230769263,3.8347057473747688,-25.8459180550674,1,1.5287168612499415,-1.0000000000000142,stop_loss
TSLA,short,2026-01-20 09:37:00-05:00,2026-01-20 09:37:00-05:00,424.5,426.16,11,-18.260000000000275,4.0066878280000005,-22.266687828000276,1,1.038629697430177,-1.1489430575728192,stop_loss
JPM,long,2026-01-20 09:36:00-05:00,2026-01-20 09:37:00-05:00,308.0,307.24436153846153,15,-11.334576923077009,3.953003067992308,-15.287579991069316,2,0.8256291114560821,-1.000000000000008,stop_loss
XOM,short,2026-01-20 09:35:00-05:00,2026-01-20 09:37:00-05:00,130.37,130.66423307692307,37,-10.886623846153356,4.144090461681385,-15.03071430783474,3,0.7377718306494842,-0.9999999999999549,stop_loss
SMCI,short,2026-01-20 09:35:00-05:00,2026-01-20 09:38:00-05:00,30.45,30.612345384615384,158,-25.65057076923084,6.640666245867385,-32.291237015098226,4,2.4820615356463196,-1.000000000000003,stop_loss
PYPL,long,2026-01-20 09:35:00-05:00,2026-01-20 09:38:00-05:00,55.96,55.827756923076926,86,-11.372904615384442,4.1413130074055395,-15.514217622789982,4,2.2940107956780875,-0.9999999999999856,stop_loss
SHOP,long,2026-01-20 09:35:00-05:00,2026-01-20 09:40:00-05:00,151.14,150.4164823076923,31,-22.429048461538542,4.009473757068154,-26.438522218606696,6,1.7482831203947058,-1.0000000000000038,stop_loss
C,long,2026-01-20 09:37:00-05:00,2026-01-20 09:40:00-05:00,115.35,114.99888461538461,41,-14.39573076923071,4.053885366376924,-18.449616135607634,4,0.9421725267176647,-0.9999999999999962,stop_loss
OXY,short,2026-01-20 09:35:00-05:00,2026-01-20 09:40:00-05:00,42.43,42.569466923076924,113,-15.759762307692398,4.824533325392155,-20.584295633084555,6,1.4367238813444727,-1.0000000000000053,stop_loss
COST,long,2026-01-20 09:38:00-05:00,2026-01-20 09:40:00-05:00,963.65,961.7842076923076,4,-7.463169230769381,3.296131016203077,-10.759300246972458,3,1.0165458801204912,-1.0000000000000195,stop_loss
INTC,long,2026-01-20 09:37:00-05:00,2026-01-20 09:40:00-05:00,48.281,47.999834615384614,99,-27.83537307692307,4.257852113028461,-32.09322518995153,4,1.262133730627973,-0.9999999999999998,stop_loss
RIOT,long,2026-01-20 09:37:00-05:00,2026-01-20 09:42:00-05:00,18.3,18.18639,263,-29.879430000000347,10.874082591846,-40.753512591846345,6,2.711080194743972,-1.0000000000000118,stop_loss
LYFT,long,2026-01-20 09:35:00-05:00,2026-01-20 09:42:00-05:00,18.265,18.2,264,-17.160000000000338,10.915271928,-28.07527192800034,8,1.1403305420820378,-1.0000000000000207,stop_loss
RIVN,short,2026-01-20 09:40:00-05:00,2026-01-20 09:42:00-05:00,15.89,15.998692307692309,302,-32.82507692307718,12.44798870513846,-45.27306562821563,3,1.8670483727908147,-1.0000000000000075,stop_loss
BAC,long,2026-01-20 09:41:00-05:00,2026-01-20 09:46:00-05:00,52.67,52.54478076923077,91,-11.394950000000165,4.126202372390001,-15.521152372390166,6,1.0713247680632614,-1.000000000000014,stop_loss
WMT,long,2026-01-20 09:43:00-05:00,2026-01-20 09:46:00-05:00,121.4,121.1260053846154,39,-10.685789999999756,4.0593003790380005,-14.745090379037757,4,2.000753570483692,-0.9999999999999765,stop_loss
TGT,short,2026-01-20 09:47:00-05:00,2026-01-20 09:49:00-05:00,108.81,109.13247076923076,44,-14.188713846153519,4.116982715783385,-18.3056965619369,3,0.9222075284560525,-0.999999999999978,stop_loss
