sym,dir,entry_time,exit_time,entry,exit,shares,gross,costs,net,bars,rvol,r_mult,reason
WFC,long,2026-01-16 09:41:00-05:00,2026-01-16 09:41:00-05:00,89.665,89.44429384615385,55,-12.138838461538342,4.232522574906154,-16.371361036444497,1,2.792536476269684,-0.9999999999999895,stop_loss
MSFT,long,2026-01-16 09:38:00-05:00,2026-01-16 09:44:00-05:00,459.38,458.52495230769233,10,-8.550476923076644,3.930117385972308,-12.480594309048952,7,3.8343858398151496,-0.9999999999999671,stop_loss
GM,short,2026-01-16 09:40:00-05:00,2026-01-16 09:45:00-05:00,80.7,80.90542307692309,61,-12.530807692308045,4.237474799530769,-16.768282491838814,6,2.2421864209676334,-1.0000000000000286,stop_loss
XOM,long,2026-01-16 09:42:00-05:00,2026-01-16 09:47:00-05:00,129.48,129.1917976923077,38,-10.951687692307473,4.217688212005231,-15.169375904312705,6,2.8542063574783194,-0.9999999999999801,stop_loss
NVDA,long,2026-01-16 09:35:00-05:00,2026-01-16 09:59:00-05:00,189.67,189.1818946153846,26,-12.690739999999892,4.222525853428001,-16.913265853427895,25,2.1829835613723794,-0.9999999999999913,stop_loss
JPM,long,2026-01-16 10:05:00-05:00,2026-01-16 10:13:00-05:00,312.62,311.92713076923076,15,-10.393038461538708,4.012698938146154,-14.405737399684863,9,3.1328680501161745,-1.0000000000000244,stop_loss
CRM,short,2026-01-16 09:35:00-05:00,2026-01-16 10:27:00-05:00,228.88,229.61582923076924,21,-15.452413846154059,4.1260068306433855,-19.578420676797442,53,3.5875557452995106,-1.0000000000000135,stop_loss
ABBV,long,2026-01-16 11:09:00-05:00,2026-01-16 11:10:00-05:00,216.16,215.53641692307693,22,-13.718827692307514,4.070257997513231,-17.789085689820745,2,4.957173188165217,-0.9999999999999872,stop_loss
HOOD,short,2026-01-16 09:50:00-05:00,2026-01-16 11:42:00-05:00,108.57,109.08014769230769,45,-22.95664615384638,4.204922993224615,-27.161569147070995,113,2.3373727974042455,-1.0000000000000093,stop_loss
COST,short,2026-01-16 09:35:00-05:00,2026-01-16 15:09:00-05:00,955.93,957.7237923076923,5,-8.968961538461713,4.0949654617461535,-13.063927000207865,335,2.000097722814124,-1.0000000000000187,stop_loss
