sym,dir,entry_time,exit_time,entry,exit,shares,gross,costs,net,bars,rvol,r_mult,reason
INTC,long,2026-01-21 09:37:00-05:00,2026-01-21 09:37:00-05:00,52.135,51.81429615384615,94,-30.146161538461655,4.211341836093847,-34.3575033745555,1,1.9175530563034537,-1.0000000000000042,stop_loss
NFLX,long,2026-01-21 09:38:00-05:00,2026-01-21 09:40:00-05:00,83.7,83.46174153846154,58,-13.818990769230936,4.166939995748924,-17.98593076497986,3,5.063725726572211,-1.0000000000000115,stop_loss
SHOP,short,2026-01-21 10:26:00-05:00,2026-01-21 10:45:00-05:00,143.57,144.33451769230768,34,-25.99360153846152,4.198916790738155,-30.192518329199675,20,1.5701264986332126,-0.9999999999999997,stop_loss
AMD,long,2026-01-21 09:52:00-05:00,2026-01-21 15:55:00-05:00,242.15,249.54,20,147.79999999999973,4.2135396400000005,143.58646035999973,364,1.533594665715292,6.487293157178583,eod_win
META,long,2026-01-22 09:35:00-05:00,2026-01-22 09:36:00-05:00,634.28,632.5610092307692,7,-12.032935384615598,3.7960060862424614,-15.828941470858059,2,1.5819552545952649,-1.0000000000000184,stop_loss
DIS,long,2026-01-22 09:35:00-05:00,2026-01-22 09:39:00-05:00,114.05,113.8064776923077,43,-10.471459230769,4.205787049741077,-14.677246280510076,5,1.5070112007458987,-0.9999999999999785,stop_loss
ENPH,long,2026-01-22 09:35:00-05:00,2026-01-22 15:55:00-05:00,37.93,40.63,130,351.00000000000034,5.52707584,345.47292416000033,381,2.1203981903244844,13.575185643564364,eod_win
MRNA,long,2026-01-22 09:41:00-05:00,2026-01-22 15:55:00-05:00,51.49,51.505,95,1.425000000000054,4.217359795,-2.792359794999946,375,3.328801191532275,0.04587943824745426,eod_win
MRNA,short,2026-01-23 09:35:00-05:00,2026-01-23 09:35:00-05:00,49.26,49.61276769230769,100,-35.27676923076939,4.308066294184615,-39.584835524954,1,1.9484947354094588,-1.0000000000000047,stop_loss
NVDA,short,2026-01-23 09:36:00-05:00,2026-01-23 09:36:00-05:00,187.22,187.73502153846152,26,-13.390559999999653,4.179181713568,-17.56974171356765,1,1.5271638313881002,-0.9999999999999744,stop_loss
SLB,long,2026-01-23 09:40:00-05:00,2026-01-23 09:40:00-05:00,51.55,51.37,95,-17.099999999999973,4.2143117199999995,-21.314311719999974,1,1.7910256597124126,-1.2424207027641183,stop_loss
ENPH,short,2026-01-23 09:35:00-05:00,2026-01-23 09:42:00-05:00,40.82,41.030892307692305,121,-25.517969230768884,5.155502031544616,-30.6734712623135,8,2.058621489315325,-0.999999999999986,stop_loss
INTC,short,2026-01-23 09:51:00-05:00,2026-01-23 10:44:00-05:00,46.13,46.493780769230774,107,-38.924542307692576,4.591042698276154,-43.51558500596873,54,2.316207255785862,-1.000000000000007,stop_loss
GS,short,2026-01-23 12:55:00-05:00,2026-01-23 15:55:00-05:00,921.01,918.89,5,10.600000000000023,3.9372061,6.662793900000024,181,2.7513961794551927,0.866884478206947,eod_win
LYFT,long,2026-01-26 10:03:00-05:00,2026-01-26 10:04:00-05:00,18.26,18.192,270,-18.360000000000376,11.163248712,-29.523248712000377,2,1.783803565267286,-1.0000000000000215,stop_loss
ENPH,long,2026-01-26 09:35:00-05:00,2026-01-26 10:29:00-05:00,39.5,39.287415384615386,125,-26.573076923076755,5.315286268461538,-31.888363191538296,55,1.5124634398337007,-0.9999999999999932,stop_loss
BA,long,2026-01-27 09:35:00-05:00,2026-01-27 09:35:00-05:00,245.15,243.89,20,-25.200000000000387,4.19086624,-29.390866240000385,1,2.792117413829923,-1.9076657182687828,stop_loss
ENPH,long,2026-01-27 10:09:00-05:00,2026-01-27 15:55:00-05:00,39.4,39.86,125,57.50000000000011,5.3169285,52.1830715000001,347,3.083450992048748,2.129402129402133,eod_win
GM,short,2026-01-28 09:35:00-05:00,2026-01-28 09:35:00-05:00,84.79,85.0556153846154,58,-15.405692307692448,4.233533347169232,-19.63922565486168,1,1.6010271479885299,-1.0000000000000102,stop_loss
FSLR,long,2026-01-28 09:35:00-05:00,2026-01-28 09:35:00-05:00,247.3,245.98,19,-25.08000000000041,4.0157864960000005,-29.09578649600041,1,1.6524101091952978,-1.226892979326587,stop_loss
